Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Status
2025-11-11 07:28:15,238.9,0.872,93.1,0.000129,ON
2025-11-11 07:28:21,238.9,0.872,93.1,0.000259,ON
2025-11-11 07:28:26,238.9,0.872,93.1,0.000388,ON
2025-11-11 07:28:31,238.9,0.872,93.1,0.000517,ON
2025-11-11 07:28:37,238.9,0.872,93.1,0.000647,ON
2025-11-11 07:28:42,238.9,0.872,93.1,0.000776,ON
2025-11-11 07:28:47,238.9,0.872,93.1,0.000905,ON
2025-11-11 07:28:53,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:28:59,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:04,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:09,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:14,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:20,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:25,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:30,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:36,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:41,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:46,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:52,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:29:57,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:02,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:08,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:13,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:18,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:24,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:29,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:34,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:40,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:45,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:50,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:30:56,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:01,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:06,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:12,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:17,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:22,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:28,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:33,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:38,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:44,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:49,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:31:54,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:00,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:05,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:10,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:16,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:21,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:26,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:32,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:37,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:42,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:47,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:53,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:32:58,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:03,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:09,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:14,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:19,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:25,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:30,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:35,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:41,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:46,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:51,239.8,0.0,0.0,0.000905,ON
2025-11-11 07:33:57,239.8,0.0,0.0,0.000905,ON
