Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Status
2025-11-11 07:28:15,238.68,1.001,239.0,6.6e-05,ON
2025-11-11 07:28:20,239.08,0.854,204.2,0.000123,ON
2025-11-11 07:28:25,240.29,1.037,249.2,0.000192,ON
2025-11-11 07:28:30,238.34,0.883,210.4,0.000251,ON
2025-11-11 07:28:35,233.88,0.884,206.6,0.000308,ON
2025-11-11 07:28:40,239.53,0.814,195.1,0.000362,ON
2025-11-11 07:28:45,0.0,0.0,0.0,0.000362,OFF
2025-11-11 07:28:50,242.44,1.021,247.5,0.000431,ON
2025-11-11 07:28:55,235.38,0.783,184.3,0.000482,ON
2025-11-11 07:29:00,240.83,0.866,208.6,0.00054,ON
2025-11-11 07:29:05,240.79,0.914,220.0,0.000601,ON
2025-11-11 07:29:10,242.85,0.896,217.5,0.000662,ON
2025-11-11 07:29:15,239.23,0.904,216.2,0.000722,ON
2025-11-11 07:29:20,235.54,0.825,194.4,0.000776,ON
2025-11-11 07:29:25,234.51,0.95,222.8,0.000838,ON
2025-11-11 07:29:30,236.22,0.954,225.4,0.0009,ON
2025-11-11 07:29:35,237.51,0.784,186.1,0.000952,ON
2025-11-11 07:29:40,236.66,0.887,209.9,0.00101,ON
2025-11-11 07:29:45,242.71,0.927,224.9,0.001073,ON
2025-11-11 07:29:50,235.78,0.856,201.8,0.001129,ON
2025-11-11 07:29:55,242.6,1.019,247.3,0.001197,ON
2025-11-11 07:30:00,239.98,0.888,213.2,0.001257,ON
2025-11-11 07:30:05,235.15,0.739,173.7,0.001305,ON
2025-11-11 07:30:10,235.56,0.783,184.5,0.001356,ON
2025-11-11 07:30:15,233.11,0.841,196.1,0.001411,ON
2025-11-11 07:30:20,241.14,0.883,212.9,0.00147,ON
2025-11-11 07:30:25,236.03,0.851,200.8,0.001526,ON
2025-11-11 07:30:30,240.29,1.081,259.8,0.001598,ON
2025-11-11 07:30:35,233.71,1.058,247.3,0.001666,ON
2025-11-11 07:30:40,235.95,0.863,203.7,0.001723,ON
2025-11-11 07:30:45,239.19,0.746,178.4,0.001773,ON
2025-11-11 07:30:50,241.48,0.83,200.5,0.001828,ON
2025-11-11 07:30:55,234.13,0.817,191.3,0.001881,ON
2025-11-11 07:31:00,235.57,0.81,190.8,0.001934,ON
2025-11-11 07:31:05,238.08,0.796,189.4,0.001987,ON
2025-11-11 07:31:10,238.97,0.983,234.8,0.002052,ON
2025-11-11 07:31:15,234.64,0.815,191.1,0.002105,ON
2025-11-11 07:31:20,234.21,0.737,172.7,0.002153,ON
2025-11-11 07:31:25,234.25,1.021,239.3,0.00222,ON
2025-11-11 07:31:30,233.79,0.795,186.0,0.002272,ON
2025-11-11 07:31:35,235.52,0.885,208.4,0.002329,ON
2025-11-11 07:31:40,238.0,1.059,252.0,0.002399,ON
2025-11-11 07:31:45,233.5,0.839,196.0,0.002454,ON
2025-11-11 07:31:50,238.11,0.718,170.9,0.002501,ON
2025-11-11 07:31:55,240.66,1.045,251.5,0.002571,ON
2025-11-11 07:32:00,239.8,0.834,200.1,0.002627,ON
2025-11-11 07:32:05,235.35,0.742,174.7,0.002675,ON
2025-11-11 07:32:10,237.39,0.741,176.0,0.002724,ON
2025-11-11 07:32:15,238.53,1.013,241.7,0.002791,ON
2025-11-11 07:32:20,237.95,1.071,254.9,0.002862,ON
2025-11-11 07:32:25,236.17,1.068,252.3,0.002932,ON
2025-11-11 07:32:30,233.3,0.798,186.1,0.002984,ON
2025-11-11 07:32:35,238.68,1.065,254.3,0.003055,ON
2025-11-11 07:32:40,238.9,0.87,208.0,0.003112,ON
2025-11-11 07:32:45,242.25,0.847,205.3,0.003169,ON
2025-11-11 07:32:50,236.2,0.971,229.5,0.003233,ON
2025-11-11 07:32:55,236.48,0.762,180.3,0.003283,ON
2025-11-11 07:33:00,241.58,1.031,249.0,0.003352,ON
2025-11-11 07:33:05,239.13,1.073,256.7,0.003424,ON
2025-11-11 07:33:10,237.73,0.913,217.1,0.003484,ON
2025-11-11 07:33:15,233.58,1.091,254.9,0.003555,ON
2025-11-11 07:33:20,239.55,0.955,228.8,0.003618,ON
2025-11-11 07:33:25,236.82,0.751,177.9,0.003668,ON
2025-11-11 07:33:30,242.13,1.05,254.1,0.003738,ON
2025-11-11 07:33:35,235.11,0.76,178.7,0.003788,ON
2025-11-11 07:33:40,235.7,1.004,236.6,0.003854,ON
2025-11-11 07:33:45,233.33,1.064,248.2,0.003923,ON
2025-11-11 07:33:50,239.22,0.701,167.7,0.003969,ON
2025-11-11 07:33:55,242.94,0.965,234.4,0.004034,ON
2025-11-11 07:34:00,238.45,1.071,255.4,0.004105,ON
2025-11-11 07:34:05,235.26,0.874,205.6,0.004162,ON
2025-11-11 07:34:10,239.58,0.979,234.6,0.004228,ON
