Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Status
2025-11-11 07:28:15,239.65,0.875,209.6,5.8e-05,ON
2025-11-11 07:28:20,234.97,0.793,186.3,0.00011,ON
2025-11-11 07:28:25,240.25,1.081,259.6,0.000182,ON
2025-11-11 07:28:30,240.55,1.051,252.9,0.000252,ON
2025-11-11 07:28:35,235.96,0.881,207.9,0.00031,ON
2025-11-11 07:28:40,235.33,0.846,199.2,0.000365,ON
2025-11-11 07:28:45,236.96,1.05,248.8,0.000435,ON
2025-11-11 07:28:50,235.04,0.804,188.9,0.000487,ON
2025-11-11 07:28:55,240.17,0.95,228.1,0.00055,ON
2025-11-11 07:29:00,238.54,1.09,259.9,0.000623,ON
2025-11-11 07:29:05,242.37,0.947,229.5,0.000686,ON
2025-11-11 07:29:10,235.77,1.081,254.8,0.000757,ON
2025-11-11 07:29:15,235.82,0.981,231.3,0.000821,ON
2025-11-11 07:29:20,234.36,0.782,183.3,0.000872,ON
2025-11-11 07:29:25,235.97,1.05,247.8,0.000941,ON
2025-11-11 07:29:30,235.79,0.965,227.6,0.001004,ON
2025-11-11 07:29:35,236.55,1.045,247.3,0.001073,ON
2025-11-11 07:29:40,239.9,0.728,174.6,0.001122,ON
2025-11-11 07:29:45,237.32,0.966,229.2,0.001185,ON
2025-11-11 07:29:50,238.27,0.92,219.2,0.001246,ON
2025-11-11 07:29:55,238.08,0.895,213.2,0.001305,ON
2025-11-11 07:30:00,242.5,0.974,236.2,0.001371,ON
2025-11-11 07:30:05,239.3,0.874,209.2,0.001429,ON
2025-11-11 07:30:10,233.73,0.889,207.8,0.001487,ON
2025-11-11 07:30:15,237.45,0.731,173.6,0.001535,ON
2025-11-11 07:30:20,242.25,1.046,253.4,0.001605,ON
2025-11-11 07:30:25,241.51,0.9,217.5,0.001666,ON
2025-11-11 07:30:30,242.09,0.753,182.2,0.001716,ON
2025-11-11 07:30:35,0.0,0.0,0.0,0.001716,OFF
2025-11-11 07:30:40,241.44,0.754,182.0,0.001767,ON
2025-11-11 07:30:45,237.95,0.932,221.9,0.001829,ON
2025-11-11 07:30:50,238.04,0.89,211.9,0.001887,ON
2025-11-11 07:30:55,235.71,0.865,203.8,0.001944,ON
2025-11-11 07:31:00,237.49,0.992,235.5,0.002009,ON
2025-11-11 07:31:05,242.74,0.995,241.6,0.002077,ON
2025-11-11 07:31:10,239.3,0.788,188.5,0.002129,ON
2025-11-11 07:31:15,238.83,0.977,233.3,0.002194,ON
2025-11-11 07:31:20,241.36,0.849,204.8,0.002251,ON
2025-11-11 07:31:25,234.51,1.097,257.2,0.002322,ON
2025-11-11 07:31:30,233.51,1.028,239.9,0.002389,ON
2025-11-11 07:31:35,241.85,0.959,232.1,0.002453,ON
2025-11-11 07:31:40,233.32,0.717,167.4,0.0025,ON
2025-11-11 07:31:45,233.18,0.812,189.3,0.002552,ON
2025-11-11 07:31:50,0.0,0.0,0.0,0.002552,OFF
2025-11-11 07:31:55,237.37,1.036,245.9,0.00262,ON
2025-11-11 07:32:00,234.62,0.947,222.2,0.002682,ON
2025-11-11 07:32:05,241.71,0.767,185.3,0.002734,ON
2025-11-11 07:32:10,234.5,1.066,249.9,0.002803,ON
2025-11-11 07:32:15,236.19,0.855,202.0,0.002859,ON
2025-11-11 07:32:20,239.5,0.948,227.0,0.002922,ON
2025-11-11 07:32:25,233.52,0.743,173.5,0.00297,ON
2025-11-11 07:32:30,238.53,0.974,232.4,0.003035,ON
2025-11-11 07:32:35,240.08,0.815,195.7,0.003089,ON
2025-11-11 07:32:40,240.81,0.87,209.5,0.003148,ON
2025-11-11 07:32:45,234.42,0.96,225.1,0.00321,ON
2025-11-11 07:32:50,238.09,1.029,245.0,0.003278,ON
2025-11-11 07:32:55,239.72,0.774,185.6,0.00333,ON
2025-11-11 07:33:00,233.59,0.906,211.7,0.003389,ON
2025-11-11 07:33:05,237.58,0.926,219.9,0.00345,ON
2025-11-11 07:33:10,239.75,0.986,236.3,0.003515,ON
2025-11-11 07:33:15,236.06,1.021,241.0,0.003582,ON
2025-11-11 07:33:20,238.79,0.934,222.9,0.003644,ON
2025-11-11 07:33:25,238.14,1.094,260.4,0.003716,ON
2025-11-11 07:33:30,242.86,1.03,250.1,0.003786,ON
2025-11-11 07:33:35,239.5,0.837,200.4,0.003842,ON
2025-11-11 07:33:40,237.02,0.941,223.1,0.003904,ON
2025-11-11 07:33:45,239.58,0.971,232.7,0.003968,ON
2025-11-11 07:33:50,241.04,1.091,263.0,0.004041,ON
2025-11-11 07:33:55,240.61,0.947,227.7,0.004105,ON
2025-11-11 07:34:00,242.25,0.737,178.4,0.004154,ON
2025-11-11 07:34:05,233.79,0.797,186.3,0.004206,ON
2025-11-11 07:34:10,233.64,0.76,177.5,0.004255,ON
2025-11-11 07:34:15,239.95,0.728,174.8,0.004304,ON
2025-11-11 07:34:20,239.11,1.007,240.8,0.004371,ON
2025-11-11 07:34:25,237.26,0.952,225.9,0.004433,ON
2025-11-11 07:34:30,233.47,0.914,213.5,0.004493,ON
2025-11-11 07:34:35,237.13,0.81,192.1,0.004546,ON
2025-11-11 07:34:40,239.71,0.775,185.8,0.004598,ON
2025-11-11 07:34:45,238.36,0.982,234.1,0.004663,ON
2025-11-11 07:34:50,234.87,1.078,253.2,0.004733,ON
2025-11-11 07:34:55,242.66,0.938,227.6,0.004796,ON
2025-11-11 07:35:00,240.83,1.06,255.3,0.004867,ON
2025-11-11 07:35:05,233.45,0.728,169.9,0.004914,ON
2025-11-11 07:35:10,242.91,0.71,172.4,0.004962,ON
2025-11-11 07:35:15,234.46,1.095,256.7,0.005033,ON
2025-11-11 07:35:20,238.64,0.785,187.4,0.005086,ON
2025-11-11 07:35:25,242.61,0.947,229.9,0.005149,ON
2025-11-11 07:35:30,233.45,1.025,239.3,0.005216,ON
2025-11-11 07:35:35,242.37,0.704,170.7,0.005263,ON
