Timestamp,Voltage (V),Current (A),Power (W),Energy (kWh),Status
2025-11-11 07:28:15,237.13,0.713,169.1,4.7e-05,ON
2025-11-11 07:28:20,235.26,0.907,213.4,0.000106,ON
2025-11-11 07:28:25,234.09,0.814,190.5,0.000159,ON
2025-11-11 07:28:30,236.93,0.787,186.4,0.000211,ON
2025-11-11 07:28:35,238.36,1.045,249.1,0.00028,ON
2025-11-11 07:28:40,241.42,0.801,193.4,0.000334,ON
2025-11-11 07:28:45,233.23,1.004,234.1,0.000399,ON
2025-11-11 07:28:50,238.25,0.786,187.2,0.000451,ON
2025-11-11 07:28:55,238.78,1.01,241.2,0.000518,ON
2025-11-11 07:29:00,239.38,1.076,257.6,0.000589,ON
2025-11-11 07:29:05,237.32,1.019,241.8,0.000657,ON
2025-11-11 07:29:10,236.11,0.943,222.7,0.000718,ON
2025-11-11 07:29:15,237.23,1.086,257.6,0.00079,ON
2025-11-11 07:29:20,235.42,0.941,221.5,0.000852,ON
2025-11-11 07:29:25,237.39,0.767,182.0,0.000902,ON
2025-11-11 07:29:30,239.87,0.858,205.8,0.000959,ON
2025-11-11 07:29:35,233.83,0.892,208.5,0.001017,ON
2025-11-11 07:29:40,240.43,0.826,198.6,0.001072,ON
2025-11-11 07:29:45,237.64,1.052,250.0,0.001142,ON
2025-11-11 07:29:50,241.66,0.716,172.9,0.00119,ON
2025-11-11 07:29:55,0.0,0.0,0.0,0.00119,OFF
2025-11-11 07:30:00,242.27,0.701,169.8,0.001237,ON
2025-11-11 07:30:05,237.99,1.041,247.8,0.001306,ON
2025-11-11 07:30:10,235.1,1.056,248.4,0.001375,ON
2025-11-11 07:30:15,233.32,0.962,224.4,0.001437,ON
2025-11-11 07:30:20,237.24,1.036,245.8,0.001505,ON
2025-11-11 07:30:25,238.67,0.81,193.3,0.001559,ON
2025-11-11 07:30:30,233.69,0.841,196.6,0.001614,ON
2025-11-11 07:30:35,234.3,0.872,204.2,0.00167,ON
2025-11-11 07:30:40,235.95,0.826,194.9,0.001725,ON
2025-11-11 07:30:45,236.93,0.903,214.0,0.001784,ON
2025-11-11 07:30:50,240.91,0.947,228.1,0.001847,ON
2025-11-11 07:30:55,236.52,0.815,192.9,0.001901,ON
2025-11-11 07:31:00,241.56,0.738,178.3,0.00195,ON
2025-11-11 07:31:05,240.59,0.817,196.6,0.002005,ON
2025-11-11 07:31:10,241.44,0.721,174.0,0.002053,ON
2025-11-11 07:31:15,241.6,0.889,214.8,0.002113,ON
2025-11-11 07:31:20,242.4,0.743,180.0,0.002163,ON
2025-11-11 07:31:25,241.92,0.929,224.8,0.002226,ON
2025-11-11 07:31:30,233.07,0.821,191.3,0.002279,ON
2025-11-11 07:31:35,242.9,0.778,189.0,0.002331,ON
2025-11-11 07:31:40,237.16,1.007,238.8,0.002397,ON
2025-11-11 07:31:45,237.4,0.744,176.6,0.002447,ON
2025-11-11 07:31:50,238.72,0.916,218.7,0.002507,ON
2025-11-11 07:31:55,239.71,1.076,257.9,0.002579,ON
2025-11-11 07:32:00,240.38,1.024,246.3,0.002647,ON
2025-11-11 07:32:05,236.27,0.991,234.2,0.002712,ON
2025-11-11 07:32:10,239.51,0.956,229.0,0.002776,ON
2025-11-11 07:32:15,239.75,0.815,195.4,0.00283,ON
2025-11-11 07:32:20,240.77,0.982,236.4,0.002896,ON
2025-11-11 07:32:25,239.84,0.72,172.7,0.002944,ON
2025-11-11 07:32:30,241.35,0.813,196.2,0.002998,ON
2025-11-11 07:32:35,237.47,1.044,247.9,0.003067,ON
2025-11-11 07:32:40,240.03,1.017,244.1,0.003135,ON
2025-11-11 07:32:45,233.31,0.803,187.5,0.003187,ON
2025-11-11 07:32:50,241.27,0.899,216.9,0.003247,ON
2025-11-11 07:32:55,239.07,0.718,171.7,0.003295,ON
2025-11-11 07:33:00,241.45,0.818,197.5,0.00335,ON
2025-11-11 07:33:05,235.43,0.837,197.1,0.003405,ON
2025-11-11 07:33:10,239.95,0.99,237.5,0.003471,ON
2025-11-11 07:33:15,233.32,1.026,239.3,0.003537,ON
2025-11-11 07:33:20,237.78,0.983,233.7,0.003602,ON
2025-11-11 07:33:25,241.02,0.839,202.2,0.003658,ON
2025-11-11 07:33:30,236.63,0.928,219.7,0.003719,ON
2025-11-11 07:33:35,235.01,0.72,169.1,0.003766,ON
2025-11-11 07:33:40,233.36,0.88,205.3,0.003823,ON
2025-11-11 07:33:45,241.53,1.045,252.4,0.003893,ON
2025-11-11 07:33:50,236.54,0.825,195.3,0.003948,ON
2025-11-11 07:33:55,242.37,0.91,220.6,0.004009,ON
2025-11-11 07:34:00,233.43,1.07,249.7,0.004078,ON
2025-11-11 07:34:05,242.64,0.969,235.2,0.004144,ON
2025-11-11 07:34:10,238.44,0.897,213.9,0.004203,ON
2025-11-11 07:34:15,234.26,0.842,197.3,0.004258,ON
2025-11-11 07:34:20,233.15,0.957,223.1,0.00432,ON
2025-11-11 07:34:25,234.28,0.928,217.5,0.00438,ON
2025-11-11 07:34:30,237.03,0.8,189.6,0.004433,ON
2025-11-11 07:34:35,234.5,1.07,251.0,0.004503,ON
2025-11-11 07:34:40,234.51,0.894,209.5,0.004561,ON
2025-11-11 07:34:45,242.74,0.891,216.4,0.004621,ON
2025-11-11 07:34:50,0.0,0.0,0.0,0.004621,OFF
2025-11-11 07:34:55,237.54,1.082,257.0,0.004692,ON
2025-11-11 07:35:00,240.3,0.969,232.9,0.004757,ON
2025-11-11 07:35:05,235.42,0.911,214.4,0.004817,ON
2025-11-11 07:35:10,0.0,0.0,0.0,0.004817,OFF
2025-11-11 07:35:15,237.91,0.874,208.0,0.004874,ON
2025-11-11 07:35:20,234.52,0.931,218.3,0.004935,ON
2025-11-11 07:35:25,233.46,1.1,256.7,0.005006,ON
2025-11-11 07:35:30,239.81,1.048,251.3,0.005076,ON
2025-11-11 07:35:35,236.7,1.059,250.6,0.005146,ON
2025-11-11 07:35:40,238.69,0.885,211.3,0.005204,ON
2025-11-11 07:35:45,242.88,0.93,225.8,0.005267,ON
2025-11-11 07:35:50,233.44,0.953,222.5,0.005329,ON
2025-11-11 07:35:55,240.92,1.08,260.2,0.005401,ON
2025-11-11 07:36:00,242.08,0.894,216.5,0.005461,ON
2025-11-11 07:36:05,240.42,0.955,229.6,0.005525,ON
2025-11-11 07:36:10,239.09,1.088,260.2,0.005597,ON
2025-11-11 07:36:15,239.92,0.925,222.0,0.005659,ON
2025-11-11 07:36:20,237.45,0.938,222.7,0.005721,ON
2025-11-11 07:36:25,241.48,1.071,258.7,0.005793,ON
2025-11-11 07:36:30,238.89,1.048,250.4,0.005862,ON
